range,column,x_start,x_end,y_start,y_end
30,6,114.3102876,117.8111103,15.70879094,17.23923001
30,7,114.3086124,117.8094451,14.17869399,15.70913315
30,8,114.3069472,117.8077799,12.64859713,14.17903628
30,9,114.3052819,117.8061047,11.11850026,12.64893933
30,10,114.3036167,117.8044395,9.5884034,11.11884247
30,11,114.3019515,117.8027742,8.058306538,9.588745607
30,12,114.3002863,117.801109,6.528209676,8.058648743
30,13,114.2986211,117.7994438,4.998112812,6.528551882
30,14,114.2969559,117.7977786,3.46801595,4.998455019
30,15,114.2952906,117.7961134,1.937929101,3.468358156
30,16,114.2936254,117.7944482,0.407832239,1.938261294
31,1,118.3026538,121.8034766,23.35966137,24.89009042
31,2,118.3009886,121.8018114,21.82956451,23.35999356
31,3,118.2993234,121.8001462,20.29946764,21.8298967
31,4,118.2976582,121.798481,18.76937078,20.29979984
31,5,118.295993,121.7968158,17.23927392,18.76970297
31,6,118.2943278,121.7951505,15.70917706,17.23961612
31,7,118.2926626,121.7934853,14.17908019,15.70951926
31,8,118.2909974,121.7918201,12.64898333,14.1794224
31,9,118.2893221,121.7901549,11.11888638,12.64932554
31,10,118.2876569,121.7884897,9.588789517,11.11922867
31,11,118.2859917,121.7868244,8.058692654,9.589131812
31,12,118.2843265,121.7851492,6.528595791,8.05903486
31,13,118.2826613,121.783484,4.998498929,6.528937997
31,14,118.2809961,121.7818188,3.468402066,4.998841135
31,15,118.2793309,121.7801536,1.938305204,3.468744272
31,16,118.2776656,121.7784884,0.408218355,1.938647408
32,1,122.286694,125.7875268,23.36004748,24.89047663
